extracted_skills_esco_skill_id_fkey,extracted_skills,esco_skill_id,esco_skills,id
feedback_360_tenant_id_fkey,feedback_360,tenant_id,tenants,id
goal_templates_org_unit_id_fkey,goal_templates,org_unit_id,org_units,id
goals_tenant_id_fkey,goals,tenant_id,tenants,id
import_jobs_tenant_id_fkey,import_jobs,tenant_id,tenants,id
import_skill_links_esco_skill_id_fkey,import_skill_links,esco_skill_id,esco_skills,id
import_skill_links_import_job_id_fkey,import_skill_links,import_job_id,import_jobs,id
import_skill_links_tenant_id_fkey,import_skill_links,tenant_id,tenants,id
industry_ccnl_mapping_ccnl_code_fkey,industry_ccnl_mapping,ccnl_code,ccnl_contracts,code
industry_classifications_parent_code_fkey,industry_classifications,parent_code,industry_classifications,code
industry_profiles_company_size_code_fkey,industry_profiles,company_size_code,company_sizes,code
industry_profiles_nace_class_code_fkey,industry_profiles,nace_class_code,industry_classifications,code
integrations_tenant_id_fkey,integrations,tenant_id,tenants,id
internal_job_postings_created_by_fkey_emp,internal_job_postings,created_by_employee_id,employees,id
internal_mobility_postings_created_by_fkey,internal_mobility_postings,created_by,employees,id
internal_mobility_postings_hiring_manager_id_fkey,internal_mobility_postings,hiring_manager_id,employees,id
internal_mobility_postings_location_id_fkey,internal_mobility_postings,location_id,locations,id
internal_mobility_postings_org_unit_id_fkey,internal_mobility_postings,org_unit_id,org_units,id
internal_mobility_postings_tenant_id_fkey,internal_mobility_postings,tenant_id,tenants,id
job_analysis_analyst_id_fkey,job_analysis,analyst_id,employees,id
job_analysis_job_family_id_fkey,job_analysis,job_family_id,job_families,id
job_analysis_org_unit_id_fkey,job_analysis,org_unit_id,org_units,id
job_analysis_tenant_id_fkey,job_analysis,tenant_id,tenants,id
job_evaluations_evaluated_by_fkey,job_evaluations,evaluated_by,employees,id
job_evaluations_job_analysis_id_fkey,job_evaluations,job_analysis_id,job_analysis,id
job_evaluations_tenant_id_fkey,job_evaluations,tenant_id,tenants,id
job_families_parent_id_fkey,job_families,parent_id,job_families,id
